utt_id,path,text,text_enhanced,spkid,start_s,end_s,problems
110622_A1203499210#20936#9005548100167210,110622/A1203499210#20936#9005548100167210.wav,QUÀ TẶNG ÂM NHẠC,QUÀ TẶNG ÂM NHẠC,110622,1.764232549857549,2.5227733262108254,
110622_A1203499210#20936#9005548476483699,110622/A1203499210#20936#9005548476483699.wav,HÁT BÀI NHẠC CÔ GÁI VÀNG,HÁT BÀI NHẠC CÔ GÁI VÀNG,110622,2.0962179487179484,4.766330128205128,
110622_A117286802#3980#9005550096868414,110622/A117286802#3980#9005550096868414.wav,MỞ BÀI CHẠY VỀ KHÓC VỚI ANH,MỞ BÀI CHẠY VỀ KHÓC VỚI ANH,110622,1.3406766381766384,3.373332977207977,
110622_A117286802#3980#9005549188599239,110622/A117286802#3980#9005549188599239.wav,MỞ NHẠC BÔ LÊ RÔ,MỞ NHẠC BOLERO,110622,1.2355300925925925,2.9795211894586893,
110622_A117286802#3980#9005550119524529,110622/A117286802#3980#9005550119524529.wav,MỞ BÀI VUI LẮM NHA RI MIC,MỞ BÀI VUI LẮM NHA REMIX,110622,1.3762569343065696,4.60625693430657,
110622_A1203985281#20932#9005548578099820,110622/A1203985281#20932#9005548578099820.wav,MỞ NHẠC,MỞ NHẠC,110622,1.7439236111111112,2.5197916666666678,
110622_A1203985281#20932#9005548437804771,110622/A1203985281#20932#9005548437804771.wav,TẮT ĐÈN,TẮT ĐÈN,110622,2.132451032763533,2.632451032763533,
110622_A1203985281#20932#9005548870150350,110622/A1203985281#20932#9005548870150350.wav,BỜ LU TÚT,BLUETOOTH,110622,1.9681168091168093,2.5046324786324785,
110622_A1203985281#20932#9005548611621987,110622/A1203985281#20932#9005548611621987.wav,CHUYỂN BÀI,CHUYỂN BÀI,110622,1.6433689458689462,2.211813743260511,
110622_A1203985281#20932#9005548785802992,110622/A1203985281#20932#9005548785802992.wav,BẬT ĐÈN,BẬT ĐÈN,110622,1.913138888888889,2.4914802350427347,
110622_A1203985281#20932#9005548279206162,110622/A1203985281#20932#9005548279206162.wav,MỞ NHẠC,MỞ NHẠC,110622,1.574099715099715,2.0471737891737893,
110622_A1203985281#20932#9005548456003352,110622/A1203985281#20932#9005548456003352.wav,MỞ NHẠC,MỞ NHẠC,110622,2.0471481481481484,2.6514814814814818,
110622_A1203985281#20932#9005548481521577,110622/A1203985281#20932#9005548481521577.wav,TẮT NHẠC,TẮT NHẠC,110622,1.7391282051282055,2.278220678168047,
110622_A1203985281#20932#9005548665216979,110622/A1203985281#20932#9005548665216979.wav,BẬT ĐÈN,BẬT ĐÈN,110622,1.6482685185185189,2.3372072649572653,
110622_A1210662638#20931#9005548700325197,110622/A1210662638#20931#9005548700325197.wav,TÌM WC,TÌM WC,110622,2.4304515592189277,4.158863240130611,
110622_A1210662638#20931#9005548355781024,110622/A1210662638#20931#9005548355781024.wav,BẬT ĐÈN NOVA,BẬT ĐÈN NOVA,110622,2.0,3.3892507122507127,
110622_A1210662638#20931#9005548704664774,110622/A1210662638#20931#9005548704664774.wav,BẬT ĐÈN BẾP,BẬT ĐÈN BẾP,110622,2.7207507122507124,4.118529914529916,
110622_A1210662638#20931#9005548355921207,110622/A1210662638#20931#9005548355921207.wav,BẬT ĐÈN,BẬT ĐÈN,110622,1.5394672364672366,1.9646754730438931,
110622_A1210662638#20931#9005548540499220,110622/A1210662638#20931#9005548540499220.wav,PHÒNG KHÁCH,PHÒNG KHÁCH,110622,3.039628205128206,3.981853409710857,
110622_A1210662638#20931#9005548875401619,110622/A1210662638#20931#9005548875401619.wav,BẬT ĐÈN NHÀ VỆ SINH,BẬT ĐÈN NHÀ VỆ SINH,110622,1.9784102564102564,3.1368076923076926,
110622_A1210662638#20931#9005548186750566,110622/A1210662638#20931#9005548186750566.wav,TẮT ĐÈN,TẮT ĐÈN,110622,1.8522877492877496,2.2415792566968102,
110622_A1210662638#20931#9005548355794869,110622/A1210662638#20931#9005548355794869.wav,BẬT ĐÈN CỬA,BẬT ĐÈN CỬA,110622,1.5587250712250715,2.5968660968660973,
110622_A1210662638#20931#9005548789071589,110622/A1210662638#20931#9005548789071589.wav,BẬT ĐÈN PHÒNG,BẬT ĐÈN PHÒNG,110622,2.806750178062678,3.9041502849002847,
110622_A1210662638#20931#9005548355434057,110622/A1210662638#20931#9005548355434057.wav,TẮT QUẠT TRẦN,TẮT QUẠT TRẦN,110622,2.00664797008547,2.846475249287749,
110622_A1210662638#20931#9005548702374966,110622/A1210662638#20931#9005548702374966.wav,BẬT NHẠC,BẬT NHẠC,110622,2.0039779202279204,3.13464155982906,
110622_A1210662638#20931#9005548656047212,110622/A1210662638#20931#9005548656047212.wav,TẮT ĐÈN PHÒNG BẾP,TẮT ĐÈN PHÒNG BẾP,110622,1.5899216524216524,2.491021367521367,
110622_A1204694956#20923#9005547952076131,110622/A1204694956#20923#9005547952076131.wav,KỂ CHUYỆN CƯỜI,KỂ CHUYỆN CƯỜI,110622,1.9832948717948724,3.0459102564102576,
110622_A1204694956#20923#9005547926161794,110622/A1204694956#20923#9005547926161794.wav,MỞ BÀI HÁT ĐỘ TỘC,MỞ BÀI HÁT ĐỘ TỘC,110622,2.408418269230769,4.38991153530891,
110622_A1204694956#20923#9005547946309036,110622/A1204694956#20923#9005547946309036.wav,CON CHÓ SỦA,CON CHÓ SỦA,110622,2.6393988603988605,4.452352445899255,
110622_A1204694956#20923#9005547952923156,110622/A1204694956#20923#9005547952923156.wav,MỞ BÀI HÁT,MỞ BÀI HÁT,110622,2.811,4.327835316638506,
110622_A1204694956#20923#9005548825869517,110622/A1204694956#20923#9005548825869517.wav,TẮT NHẠC,TẮT NHẠC,110622,1.230940170940171,1.5883279914529915,
110622_A1204694956#20923#9005547926021902,110622/A1204694956#20923#9005547926021902.wav,BÀI HÁT,BÀI HÁT,110622,3.2838603988603983,4.418276353276354,
110622_A1204694956#20923#9005548450701518,110622/A1204694956#20923#9005548450701518.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,1.3570470085470083,1.9356651226124924,
110622_A1204694956#20923#9005548798724155,110622/A1204694956#20923#9005548798724155.wav,MỘT CỘNG MỘT BẰNG MẤY,MỘT CỘNG MỘT BẰNG MẤY,110622,1.3580769230769232,2.5575470085470093,
110622_A1204694956#20923#9005548446999526,110622/A1204694956#20923#9005548446999526.wav,TIẾNG CHIM HÓT,TIẾNG CHIM HÓT,110622,1.392934472934473,2.704420648795648,
110622_A1204694956#20923#9005547953478443,110622/A1204694956#20923#9005547953478443.wav,TRUYỆN CƯỜI,TRUYỆN CƯỜI,110622,1.7308333333333334,2.6543825757575763,
110622_A1204694956#20923#9005547951379339,110622/A1204694956#20923#9005547951379339.wav,GỌI CHO HỮU ĐI,GỌI CHO HỮU ĐI,110622,1.842076923076923,3.108346153846154,
110622_A1204694956#20923#9005548796001107,110622/A1204694956#20923#9005548796001107.wav,CHUYỂN BÀI,CHUYỂN BÀI,110622,1.2301556267806273,1.8579595797720805,
110622_A1204694956#20923#9005548795272672,110622/A1204694956#20923#9005548795272672.wav,BẬT NHẠC VUI VẺ,BẬT NHẠC VUI VẺ,110622,1.0923563034188035,2.0949207621082637,
110622_A1204694956#20923#9005547945318376,110622/A1204694956#20923#9005547945318376.wav,TIẾNG KHÓC,TIẾNG KHÓC,110622,1.2389366096866092,2.498968839031338,
110622_A1204694956#20923#9005547951748692,110622/A1204694956#20923#9005547951748692.wav,BẬT TRUYỆN MA,BẬT TRUYỆN MA,110622,2.170160968660969,3.246787749287749,
110622_A1204694956#20923#9005547952460313,110622/A1204694956#20923#9005547952460313.wav,MỘT CỘNG MỘT CỘNG MỘT CỘNG MỘT CỘNG MỘT NHÂN MỘT TRĂM CỘNG MỘT BẰNG,1 + 1 + 1 + 1 + 1 X 100 + 1 =,110622,1.4775641025641026,6.446538461538463,
110622_A1204694956#20923#9005548448450544,110622/A1204694956#20923#9005548448450544.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,1.0645679804219144,1.6317496043535369,
110622_A1204694956#20923#9005548450716389,110622/A1204694956#20923#9005548450716389.wav,GIÁ VÀNG HÔM NAY,GIÁ VÀNG HÔM NAY,110622,1.317826210826211,2.278128205128205,
110622_A1204694956#20923#9005548447026525,110622/A1204694956#20923#9005548447026525.wav,TIẾNG CHIM KÊU,TIẾNG CHIM KÊU,110622,1.3013404558404558,2.3167867041153145,
110622_A1204694956#20923#9005548796249069,110622/A1204694956#20923#9005548796249069.wav,TĂNG ÂM LƯỢNG,TĂNG ÂM LƯỢNG,110622,1.3395384615384616,2.096923076923078,
110622_A1203152272#20922#9005548597368195,110622/A1203152272#20922#9005548597368195.wav,ĐI NGỦ,ĐI NGỦ,110622,2.151936253561254,2.696851817510543,
110622_A1203152272#20922#9005548812556170,110622/A1203152272#20922#9005548812556170.wav,BẬT CHẾ ĐỘ MỘT,BẬT CHẾ ĐỘ MỘT,110622,2.0516828703703704,3.03791658786446,
110622_A1203152272#20922#9005548898160266,110622/A1203152272#20922#9005548898160266.wav,TẮT NHẠC,TẮT NHẠC,110622,1.58641452991453,2.036448717948718,
110622_A1203152272#20922#9005548854890361,110622/A1203152272#20922#9005548854890361.wav,ĐI NGỦ,ĐI NGỦ,110622,1.607233618233618,2.1963148148148157,
110622_A1203152272#20922#9005548663031316,110622/A1203152272#20922#9005548663031316.wav,ĐÓNG CỬA SỔ,ĐÓNG CỬA SỔ,110622,2.047623931623931,2.6605925925925926,
110622_A1203152272#20922#9005548335541346,110622/A1203152272#20922#9005548335541346.wav,ĐI NGỦ,ĐI NGỦ,110622,1.8208550569800572,2.339633547008548,
110622_A1203152272#20922#9005548897065112,110622/A1203152272#20922#9005548897065112.wav,ĐÓNG RÈM CỬA SỔ,ĐÓNG RÈM CỬA SỔ,110622,1.1942606837606835,2.0034583333333336,
110622_A1203152272#20922#9005548893005645,110622/A1203152272#20922#9005548893005645.wav,ĐI NGỦ,ĐI NGỦ,110622,2.18,2.7244864672364675,
110622_A1203152272#20922#9005548893835097,110622/A1203152272#20922#9005548893835097.wav,ĐI NGỦ,ĐI NGỦ,110622,1.6462581197093866,2.159129914581182,
110622_A1203152272#20922#9005548615269559,110622/A1203152272#20922#9005548615269559.wav,ĐÓNG CỬA SỔ,ĐÓNG CỬA SỔ,110622,1.8194444444444444,2.558293627200163,
110622_A1203152272#20922#9005548892435702,110622/A1203152272#20922#9005548892435702.wav,THƯ GIÃN,THƯ GIÃN,110622,1.98,2.726284722222222,
110622_A1203152272#20922#9005548485842462,110622/A1203152272#20922#9005548485842462.wav,ĐÓNG CỬA SỔ,ĐÓNG CỬA SỔ,110622,1.464069622507122,2.2260936609686595,
110622_A1203152272#20922#9005548688594201,110622/A1203152272#20922#9005548688594201.wav,ĐI TẮM,ĐI TẮM,110622,1.5697592592592595,2.089625356125356,
110622_A1203152272#20922#9005548874756055,110622/A1203152272#20922#9005548874756055.wav,THƯ GIÃN,THƯ GIÃN,110622,1.8528817340067332,2.580424589643393,
110622_A1203152272#20922#9005548894176728,110622/A1203152272#20922#9005548894176728.wav,THƯ GIÃN,THƯ GIÃN,110622,1.7116267806267804,2.2761054131054124,
110622_A1203152272#20922#9005548866546881,110622/A1203152272#20922#9005548866546881.wav,THƯ GIÃN,THƯ GIÃN,110622,1.8033760683760685,2.433225857436384,
110622_A1203152272#20922#9005548811725348,110622/A1203152272#20922#9005548811725348.wav,BẬT ĐÈN CỔNG,BẬT ĐÈN CỔNG,110622,1.521329594017094,2.3892126068376065,
