,utt_id,path,text,text_enhanced,spkid,start_s,end_s,problems,duration,label
1767,A1048013552#400#9005547914635336,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005547914635336.wav,TẮT NHẠC,TẮT NHẠC,110622,1.3187616622864653,1.720912943495401,,3.845125,speech
1831,A1048013552#400#9005547919649544,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005547919649544.wav,MỞ BÀI CHÚC BÉ NGỦ NGON,MỞ BÀI CHÚC BÉ NGỦ NGON,110622,1.3728843626806824,3.74597158344284,,4.711875,speech
1768,A1048013552#400#9005547925994899,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005547925994899.wav,MỞ BÀI TRÁI TIM,MỞ BÀI TRAI TIM,110622,1.3051856110381077,2.8724902057257227,,4.00375,speech
1751,A1048013552#400#9005548193534208,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193534208.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ BỐ ƠI BỐ ƠI,110622,2.533318002628121,5.1598817345597885,,6.0225,speech
1746,A1048013552#400#9005548193562623,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193562623.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,110622,2.4264668199737187,4.852765154320293,,6.114375,speech
1790,A1048013552#400#9005548193577271,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193577271.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,110622,1.4300558475689886,3.6432564060446766,,4.773125,speech
1832,A1048013552#400#9005548193599987,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193599987.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,110622,0.9076254927726676,3.136150192114604,,4.087,speech
1791,A1048013552#400#9005548193627223,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193627223.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,110622,2.326439224704336,4.435959134097888,,5.41725,speech
1789,A1048013552#400#9005548193670972,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193670972.wav,MỞ BÀI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI ,110622,2.0604845597897503,4.27,,4.871875,speech
1769,A1048013552#400#9005548193678457,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548193678457.wav,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,MỞ BÀI BỐ ƠI BỐ ƠI BỐ ƠI,110622,1.3036465177398164,3.464237530634142,,4.4225,speech
1794,A1048013552#400#9005548789975445,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548789975445.wav,MỞ BÀI DẠ KHÚC,MỞ BÀI DẠ KHÚC ,110622,1.4549398817345596,2.8905251314060445,,3.975875,speech
1785,A1048013552#400#9005548789983538,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548789983538.wav,MỞ BÀI DẠ KHÚC,MỞ BÀI DẠ KHÚC,110622,1.8219185282523,3.1772659329829174,,3.850625,speech
1750,A1048013552#400#9005548789991655,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548789991655.wav,MỞ BÀI DẠ KHÚC,MỞ BÀI DẠ KHÚC,110622,1.39,2.803866951379764,,3.941125,speech
1760,A1048013552#400#9005548790013584,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005548790013584.wav,MỞ BÀI DẠ KHÚC,MỞ BÀI DẠ KHÚC,110622,1.1050404073587383,2.7237565703022346,,4.87325,speech
1792,A1048013552#400#9005550169451520,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005550169451520.wav,MỞ BÀI BA BI SÁT,MỞ BÀI BA BI SÁT,110622,1.3062931997371876,3.0392771024967145,,5.410375,speech
1793,A1048013552#400#9005550169472811,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005550169472811.wav,MỞ BÀI BA BI SÁT,MỞ BÀI BABY SHARK,110622,1.5184167214191853,3.635363105963588,,5.090375,speech
1795,A1048013552#400#9005550423049949,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048013552#400#9005550423049949.wav,MỞ BÀI BA BI SÁT ,MỞ BÀI BABYSHARK,110622,1.2986144875164256,2.853125,,2.853125,speech
12327,A1048020236#7283#9005548368178216,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548368178216.wav,HÁT BÀI KÌA CHÚ LÀ CHÚ ẾCH CON CÓ HAI LÀ HAI MẮT TRÒN,HÁT BÀI KÌA CHÚ LÀ CHÚ ẾCH CON CÓ HAI LÀ HAI MẮT TRÒN,110622,1.715487385321101,5.252548738532109,,7.21375,speech
12089,A1048020236#7283#9005548380161956,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548380161956.wav,HÁT BÀI CHÚ ẾCH CON,HÁT BÀI CHÚ ẾCH CON,110622,1.8939840722931105,3.829746191612081,,5.4885,speech
12346,A1048020236#7283#9005548398442771,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548398442771.wav,BỐ ANH ĐI ĐÂU RỒI,BỐ ANH ĐI ĐÂU RỒI,110622,1.3506493506493504,2.941467738610596,,4.751125,speech
12339,A1048020236#7283#9005548400668695,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548400668695.wav,HÁT BÀI BÀ ƠI BÀ,HÁT BÀI BÀ ƠI BÀ,110622,1.812538990825688,3.576546444954129,,5.199125,speech
12337,A1048020236#7283#9005548401294867,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548401294867.wav,HÁT BÀI CON HEO ĐẤT,HÁT BÀI CON HEO ĐẤT,110622,1.3826146788990827,2.7060837155963307,,4.4325,speech
12335,A1048020236#7283#9005548402858368,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548402858368.wav,HÁT BÀI CON HEO ĐẤT,HÁT BÀI CON HEO ĐẤT,110622,2.492623279816514,4.093354357798163,,6.1925,speech
12085,A1048020236#7283#9005548408712787,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548408712787.wav,HÁT BÀI CON CÀO CÀO,HÁT BÀI CON CÀO CÀO,110622,1.4674981804719416,3.444464091140476,,5.103125,speech
12087,A1048020236#7283#9005548444541337,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548444541337.wav,NGỦ THÔI,NGỦ THÔI,110622,1.2114414448525237,2.364658401832964,,4.108375,speech
12329,A1048020236#7283#9005548454916993,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548454916993.wav,BABY SHARK DOO DOO,HÁT BÀI BABY SHARK ĐU ĐU ĐU,110622,1.834529386467889,4.169058772935779,,5.775125,speech
12489,A1048020236#7283#9005548459185276,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548459185276.wav,NGỦ THÔI,NGỦ THÔI,110622,1.418059833024119,2.53957745825603,,3.46975,speech
12342,A1048020236#7283#9005548479736474,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548479736474.wav,"MAIKA ƠI, NGỦ THÔI","MAIKA ƠI, NGỦ THÔI",110622,0.2591291571100917,2.1416575401376146,,4.108375,speech
12488,A1048020236#7283#9005548533514421,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548533514421.wav,NGỦ THÔI,NGỦ THÔI,110622,2.010730983302412,3.131028943896073,,3.9845,speech
12340,A1048020236#7283#9005548539474167,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548539474167.wav,ĐI NGỦ THÔI,ĐI NGỦ THÔI,110622,2.3661274369266057,3.536018061926608,,5.359125,speech
12333,A1048020236#7283#9005548539922341,/content/drive/Shareddrives/vad/NeMo_data/OAD2204/VAD_OAD2204/A1048020236#7283#9005548539922341.wav,NHẠC CHUÔNG AI PHONE,NHẠC CHUÔNG IPHONE,110622,2.006828268348624,3.4655883801672127,,5.48575,speech
